id,store,customer_type,gender,product_class,qty,total,date,time,pay_method,rating,subtotal,unit_price
750-67-8428,A,Member,Female,Health and beauty,7,548.9715,2019-01-05,13:08:00,Ewallet,9.1,522.8299999999999,74.68999999999998
226-31-3081,C,Normal,Female,Electronic accessories,5,80.22,2019-03-08,10:29:00,Cash,9.6,76.39999999999999,15.279999999999998
631-41-3108,A,Normal,Male,Home and lifestyle,7,340.5255,2019-03-03,13:23:00,Credit card,7.4,324.31,46.33
123-19-1176,A,Member,Male,Health and beauty,8,489.048,2019-01-27,20:33:00,Ewallet,8.4,465.76,58.22
373-73-7910,A,Normal,Male,Sports and travel,7,634.3785,2019-02-08,10:37:00,Ewallet,5.3,604.17,86.30999999999999
699-14-3026,C,Normal,Male,Electronic accessories,7,627.6165,2019-03-25,18:30:00,Ewallet,4.1,597.7299999999999,85.38999999999999
355-53-5943,A,Member,Female,Electronic accessories,6,433.692,2019-02-25,14:36:00,Ewallet,5.8,413.03999999999996,68.83999999999999
315-22-5665,C,Normal,Female,Home and lifestyle,10,772.38,2019-02-24,11:38:00,Ewallet,8,735.5999999999999,73.55999999999999
665-32-9167,A,Member,Female,Health and beauty,2,76.146,2019-01-10,17:15:00,Credit card,7.2,72.52,36.26
692-92-5582,B,Member,Female,Food and beverages,3,172.746,2019-02-20,13:27:00,Credit card,5.9,164.52,54.84
351-62-0822,B,Member,Female,Fashion accessories,4,60.816,2019-02-06,18:07:00,Ewallet,4.5,57.92,14.48
529-56-3974,B,Member,Male,Electronic accessories,4,107.142,2019-03-09,17:03:00,Cash,6.8,102.03999999999999,25.509999999999998
365-64-0515,A,Normal,Female,Electronic accessories,5,246.4875,2019-02-12,10:25:00,Ewallet,7.1,234.75,46.95
252-56-2699,A,Normal,Male,Food and beverages,10,453.495,2019-02-07,16:48:00,Ewallet,8.2,431.9,43.19
829-34-3910,A,Normal,Female,Health and beauty,10,749.49,2019-03-29,19:21:00,Cash,5.7,713.8,71.38
299-46-1805,B,Member,Female,Sports and travel,6,590.436,2019-01-15,16:19:00,Cash,4.5,562.32,93.72000000000001
656-95-9349,A,Member,Female,Health and beauty,7,506.6355,2019-03-11,11:03:00,Credit card,4.6,482.50999999999993,68.92999999999999
765-26-6951,A,Normal,Male,Sports and travel,6,457.443,2019-01-01,10:39:00,Credit card,6.9,435.65999999999997,72.61
329-62-1586,A,Normal,Male,Food and beverages,3,172.2105,2019-01-21,18:00:00,Credit card,8.6,164.01,54.669999999999995
319-50-3348,B,Normal,Female,Home and lifestyle,2,84.63,2019-03-11,15:30:00,Ewallet,4.4,80.6,40.3
300-71-4605,C,Member,Male,Electronic accessories,5,451.71,2019-02-25,11:24:00,Ewallet,4.8,430.2,86.03999999999999
371-85-5789,B,Normal,Male,Health and beauty,3,277.137,2019-03-05,10:40:00,Ewallet,5.1,263.94,87.98
273-16-6619,B,Normal,Male,Home and lifestyle,2,69.72,2019-03-15,12:20:00,Credit card,4.4,66.39999999999999,33.199999999999996
